[2020-08-06T09:36:05.372][1] 	53 milliseconds 
[2020-08-06T09:36:05.424][1] 	105 milliseconds 
[2020-08-06T09:36:05.476][1] 	43 milliseconds 
[2020-08-06T09:36:05.539][1] 	1 millisecond 
[2020-08-06T09:36:05.591][1] 	53 milliseconds 
[2020-08-06T09:36:05.643][1] 	9 milliseconds 
[2020-08-06T09:36:05.695][1] 	61 milliseconds 
[2020-08-06T09:36:05.747][1] 	112 milliseconds 
[2020-08-06T09:36:05.799][1] 	33 milliseconds 
[2020-08-06T09:36:05.851][1] 	85 milliseconds 
[2020-08-06T09:36:05.903][1] 	35 milliseconds 
[2020-08-06T09:36:05.955][1] 	87 milliseconds 
[2020-08-06T09:36:06.008][1] 	39 milliseconds 
[2020-08-06T09:36:06.06][1] 	91 milliseconds 
[2020-08-06T09:36:06.112][1] 	39 milliseconds 
[2020-08-06T09:36:06.164][1] 	90 milliseconds 
[2020-08-06T09:36:06.216][1] 	46 milliseconds 
[2020-08-06T09:36:06.268][1] 	98 milliseconds 
[2020-08-06T09:36:06.32][1] 	150 milliseconds 
[2020-08-06T09:36:06.372][1] 	202 milliseconds 
[2020-08-06T09:36:06.424][1] 	254 milliseconds 
[2020-08-06T09:36:06.477][1] 	307 milliseconds 
[2020-08-06T09:36:06.529][1] 	359 milliseconds 
[2020-08-06T09:36:06.584][1] 	45 milliseconds 
[2020-08-06T09:36:06.636][1] 	97 milliseconds 
[2020-08-06T09:36:06.688][1] 	49 milliseconds 
[2020-08-06T09:36:06.741][1] 	1 millisecond 
[2020-08-06T09:36:06.793][1] 	54 milliseconds 
[2020-08-06T09:36:06.845][1] 	3 milliseconds 
[2020-08-06T09:36:06.897][1] 	55 milliseconds 
[2020-08-06T09:36:06.949][1] 	107 milliseconds 
[2020-08-06T09:36:07.001][1] 	159 milliseconds 
[2020-08-06T09:36:07.054][1] 	36 milliseconds 
[2020-08-06T09:36:07.106][1] 	88 milliseconds 
[2020-08-06T09:36:07.158][1] 	140 milliseconds 
[2020-08-06T09:36:07.21][1] 	51 milliseconds 
[2020-08-06T09:36:07.262][1] 	103 milliseconds 
[2020-08-06T09:36:07.315][1] 	30 milliseconds 
[2020-08-06T09:36:07.367][1] 	83 milliseconds 
[2020-08-06T09:36:07.419][1] 	34 milliseconds 
[2020-08-06T09:36:07.471][1] 	86 milliseconds 
[2020-08-06T09:36:07.522][1] 	38 milliseconds 
[2020-08-06T09:36:07.575][1] 	91 milliseconds 
[2020-08-06T09:36:07.627][1] 	143 milliseconds 
[2020-08-06T09:36:07.679][1] 	195 milliseconds 
[2020-08-06T09:36:07.731][1] 	247 milliseconds 
[2020-08-06T09:36:07.785][1] 	51 milliseconds 
[2020-08-06T09:36:07.837][1] 	103 milliseconds 
[2020-08-06T09:36:07.889][1] 	48 milliseconds 
[2020-08-06T09:36:07.941][1] 	100 milliseconds 
[2020-08-06T09:36:07.993][1] 	152 milliseconds 
[2020-08-06T09:36:08.045][1] 	204 milliseconds 
[2020-08-06T09:36:08.098][1] 	256 milliseconds 
[2020-08-06T09:36:08.15][1] 	309 milliseconds 
[2020-08-06T09:36:08.202][1] 	361 milliseconds 
[2020-08-06T09:36:08.256][1] 	415 milliseconds 
[2020-08-06T09:36:08.309][1] 	6 milliseconds 
[2020-08-06T09:36:08.362][1] 	59 milliseconds 
[2020-08-06T09:36:08.414][1] 	22 milliseconds 
[2020-08-06T09:36:08.466][1] 	74 milliseconds 
[2020-08-06T09:36:08.52][1] 	24 milliseconds 
[2020-08-06T09:36:08.572][1] 	77 milliseconds 
[2020-08-06T09:36:08.624][1] 	129 milliseconds 
[2020-08-06T09:36:08.676][1] 	181 milliseconds 
[2020-08-06T09:36:08.729][1] 	36 milliseconds 
[2020-08-06T09:36:08.781][1] 	88 milliseconds 
[2020-08-06T09:36:08.833][1] 	41 milliseconds 
[2020-08-06T09:36:08.885][1] 	93 milliseconds 
[2020-08-06T09:36:08.938][1] 	36 milliseconds 
[2020-08-06T09:36:08.99][1] 	88 milliseconds 
[2020-08-06T09:36:09.042][1] 	49 milliseconds 
[2020-08-06T09:36:09.095][1] 	1 millisecond 
[2020-08-06T09:36:09.147][1] 	53 milliseconds 
[2020-08-06T09:36:09.199][1] 	6 milliseconds 
[2020-08-06T09:36:09.252][1] 	58 milliseconds 
[2020-08-06T09:36:09.304][1] 	11 milliseconds 
[2020-08-06T09:36:09.358][1] 	65 milliseconds 
[2020-08-06T09:36:09.41][1] 	17 milliseconds 
[2020-08-06T09:36:09.463][1] 	69 milliseconds 
[2020-08-06T09:36:09.515][1] 	20 milliseconds 
[2020-08-06T09:36:09.57][1] 	75 milliseconds 
[2020-08-06T09:36:09.622][1] 	27 milliseconds 
[2020-08-06T09:36:09.675][1] 	80 milliseconds 
[2020-08-06T09:36:09.727][1] 	132 milliseconds 
[2020-08-06T09:36:09.78][1] 	5 milliseconds 
[2020-08-06T09:36:09.832][1] 	57 milliseconds 
[2020-08-06T09:36:09.884][1] 	9 milliseconds 
[2020-08-06T09:36:09.936][1] 	61 milliseconds 
[2020-08-06T09:36:09.989][1] 	17 milliseconds 
[2020-08-06T09:36:10.04][1] 	68 milliseconds 
[2020-08-06T09:36:10.093][1] 	120 milliseconds 
[2020-08-06T09:36:10.145][1] 	173 milliseconds 
[2020-08-06T09:36:10.197][1] 	21 milliseconds 
[2020-08-06T09:36:10.249][1] 	32 milliseconds 
[2020-08-06T09:36:10.301][1] 	84 milliseconds 
[2020-08-06T09:36:10.354][1] 	33 milliseconds 
[2020-08-06T09:36:10.406][1] 	85 milliseconds 
[2020-08-06T09:36:10.458][1] 	37 milliseconds 
[2020-08-06T09:36:10.511][1] 	90 milliseconds 
[2020-08-06T09:36:10.563][1] 	142 milliseconds 
[2020-08-06T09:36:10.615][1] 	194 milliseconds 
[2020-08-06T09:36:10.667][1] 	246 milliseconds 
[2020-08-06T09:36:10.719][1] 	298 milliseconds 
[2020-08-06T09:36:10.771][1] 	35 milliseconds 
[2020-08-06T09:36:10.823][1] 	1 millisecond 
[2020-08-06T09:36:10.875][1] 	53 milliseconds 
[2020-08-06T09:36:10.927][1] 	5 milliseconds 
[2020-08-06T09:36:10.979][1] 	57 milliseconds 
[2020-08-06T09:36:11.031][1] 	109 milliseconds 
[2020-08-06T09:36:11.083][1] 	6 milliseconds 
[2020-08-06T09:36:11.135][1] 	58 milliseconds 
[2020-08-06T09:36:11.187][1] 	110 milliseconds 
[2020-08-06T09:36:11.24][1] 	162 milliseconds 
[2020-08-06T09:36:11.292][1] 	50 milliseconds 
[2020-08-06T09:36:11.344][1] 	1 millisecond 
[2020-08-06T09:36:11.396][1] 	53 milliseconds 
[2020-08-06T09:36:11.448][1] 	4 milliseconds 
[2020-08-06T09:36:11.5][1] 	56 milliseconds 
[2020-08-06T09:36:11.552][1] 	8 milliseconds 
[2020-08-06T09:36:11.606][1] 	62 milliseconds 
[2020-08-06T09:36:11.658][1] 	14 milliseconds 
[2020-08-06T09:36:11.71][1] 	66 milliseconds 
[2020-08-06T09:36:11.762][1] 	17 milliseconds 
[2020-08-06T09:36:11.814][1] 	69 milliseconds 
[2020-08-06T09:36:11.866][1] 	21 milliseconds 
[2020-08-06T09:36:11.919][1] 	74 milliseconds 
[2020-08-06T09:36:11.971][1] 	25 milliseconds 
[2020-08-06T09:36:12.023][1] 	77 milliseconds 
[2020-08-06T09:36:12.075][1] 	28 milliseconds 
[2020-08-06T09:36:12.128][1] 	80 milliseconds 
[2020-08-06T09:36:12.18][1] 	10 milliseconds 
[2020-08-06T09:36:12.232][1] 	62 milliseconds 
[2020-08-06T09:36:12.284][1] 	14 milliseconds 
[2020-08-06T09:36:12.336][1] 	66 milliseconds 
[2020-08-06T09:36:12.388][1] 	118 milliseconds 
[2020-08-06T09:36:12.441][1] 	170 milliseconds 
[2020-08-06T09:36:12.493][1] 	222 milliseconds 
[2020-08-06T09:36:12.545][1] 	275 milliseconds 
[2020-08-06T09:36:12.597][1] 	327 milliseconds 
[2020-08-06T09:36:12.649][1] 	379 milliseconds 
[2020-08-06T09:36:12.701][1] 	8 milliseconds 
[2020-08-06T09:36:12.754][1] 	61 milliseconds 
[2020-08-06T09:36:12.806][1] 	113 milliseconds 
[2020-08-06T09:36:12.858][1] 	29 milliseconds 
[2020-08-06T09:36:12.91][1] 	81 milliseconds 
[2020-08-06T09:36:12.963][1] 	18 milliseconds 
[2020-08-06T09:36:13.015][1] 	71 milliseconds 
[2020-08-06T09:36:13.067][1] 	7 milliseconds 
[2020-08-06T09:36:13.119][1] 	59 milliseconds 
[2020-08-06T09:36:13.171][1] 	111 milliseconds 
[2020-08-06T09:36:13.223][1] 	163 milliseconds 
[2020-08-06T09:36:13.275][1] 	215 milliseconds 
[2020-08-06T09:36:13.327][1] 	40 milliseconds 
[2020-08-06T09:36:13.379][1] 	92 milliseconds 
[2020-08-06T09:36:13.432][1] 	144 milliseconds 
[2020-08-06T09:36:13.484][1] 	46 milliseconds 
[2020-08-06T09:36:13.536][1] 	98 milliseconds 
[2020-08-06T09:36:13.588][1] 	50 milliseconds 
[2020-08-06T09:36:13.641][1] 	2 milliseconds 
[2020-08-06T09:36:13.693][1] 	55 milliseconds 
[2020-08-06T09:36:13.745][1] 	107 milliseconds 
[2020-08-06T09:36:13.797][1] 	159 milliseconds 
[2020-08-06T09:36:13.849][1] 	211 milliseconds 
[2020-08-06T09:36:13.901][1] 	263 milliseconds 
[2020-08-06T09:36:13.954][1] 	47 milliseconds 
[2020-08-06T09:36:14.007][1] 	4 milliseconds 
[2020-08-06T09:36:14.059][1] 	57 milliseconds 
[2020-08-06T09:36:14.112][1] 	109 milliseconds 
[2020-08-06T09:36:14.164][1] 	162 milliseconds 
[2020-08-06T09:36:14.217][1] 	215 milliseconds 
[2020-08-06T09:36:14.269][1] 	267 milliseconds 
[2020-08-06T09:36:14.322][1] 	40 milliseconds 
[2020-08-06T09:36:14.374][1] 	92 milliseconds 
[2020-08-06T09:36:14.426][1] 	144 milliseconds 
[2020-08-06T09:36:14.479][1] 	15 milliseconds 
[2020-08-06T09:36:14.531][1] 	68 milliseconds 
[2020-08-06T09:36:14.583][1] 	20 milliseconds 
[2020-08-06T09:36:14.635][1] 	72 milliseconds 
