[2020-08-06T10:09:13.162][1] 	133 milliseconds 
[2020-08-06T10:09:13.214][1] 	5 milliseconds 
[2020-08-06T10:09:13.266][1] 	35 milliseconds 
[2020-08-06T10:09:13.318][1] 	87 milliseconds 
[2020-08-06T10:09:13.37][1] 	39 milliseconds 
[2020-08-06T10:09:13.422][1] 	91 milliseconds 
[2020-08-06T10:09:13.475][1] 	42 milliseconds 
[2020-08-06T10:09:13.527][1] 	94 milliseconds 
[2020-08-06T10:09:13.579][1] 	46 milliseconds 
[2020-08-06T10:09:13.631][1] 	98 milliseconds 
[2020-08-06T10:09:13.683][1] 	50 milliseconds 
[2020-08-06T10:09:13.735][1] 	2 milliseconds 
[2020-08-06T10:09:13.787][1] 	54 milliseconds 
[2020-08-06T10:09:13.839][1] 	1 millisecond 
[2020-08-06T10:09:13.891][1] 	53 milliseconds 
[2020-08-06T10:09:13.943][1] 	9 milliseconds 
[2020-08-06T10:09:13.995][1] 	61 milliseconds 
[2020-08-06T10:09:14.047][1] 	10 milliseconds 
[2020-08-06T10:09:14.098][1] 	61 milliseconds 
[2020-08-06T10:09:14.15][1] 	14 milliseconds 
[2020-08-06T10:09:14.202][1] 	65 milliseconds 
[2020-08-06T10:09:14.254][1] 	10 milliseconds 
[2020-08-06T10:09:14.306][1] 	63 milliseconds 
[2020-08-06T10:09:14.358][1] 	18 milliseconds 
[2020-08-06T10:09:14.41][1] 	69 milliseconds 
[2020-08-06T10:09:14.463][1] 	24 milliseconds 
[2020-08-06T10:09:14.515][1] 	76 milliseconds 
[2020-08-06T10:09:14.567][1] 	27 milliseconds 
[2020-08-06T10:09:14.619][1] 	79 milliseconds 
[2020-08-06T10:09:14.671][1] 	31 milliseconds 
[2020-08-06T10:09:14.723][1] 	83 milliseconds 
[2020-08-06T10:09:14.775][1] 	34 milliseconds 
[2020-08-06T10:09:14.827][1] 	86 milliseconds 
[2020-08-06T10:09:14.879][1] 	37 milliseconds 
[2020-08-06T10:09:14.931][1] 	89 milliseconds 
[2020-08-06T10:09:14.983][1] 	41 milliseconds 
[2020-08-06T10:09:15.035][1] 	93 milliseconds 
[2020-08-06T10:09:15.087][1] 	46 milliseconds 
[2020-08-06T10:09:15.139][1] 	98 milliseconds 
[2020-08-06T10:09:15.191][1] 	150 milliseconds 
[2020-08-06T10:09:15.242][1] 	201 milliseconds 
[2020-08-06T10:09:15.294][1] 	22 milliseconds 
[2020-08-06T10:09:15.346][1] 	74 milliseconds 
[2020-08-06T10:09:15.398][1] 	26 milliseconds 
[2020-08-06T10:09:15.451][1] 	78 milliseconds 
[2020-08-06T10:09:15.503][1] 	31 milliseconds 
[2020-08-06T10:09:15.555][1] 	83 milliseconds 
[2020-08-06T10:09:15.607][1] 	34 milliseconds 
[2020-08-06T10:09:15.659][1] 	86 milliseconds 
[2020-08-06T10:09:15.711][1] 	38 milliseconds 
[2020-08-06T10:09:15.763][1] 	90 milliseconds 
[2020-08-06T10:09:15.815][1] 	42 milliseconds 
[2020-08-06T10:09:15.867][1] 	94 milliseconds 
[2020-08-06T10:09:15.92][1] 	146 milliseconds 
[2020-08-06T10:09:15.972][1] 	199 milliseconds 
[2020-08-06T10:09:16.024][1] 	42 milliseconds 
[2020-08-06T10:09:16.076][1] 	94 milliseconds 
[2020-08-06T10:09:16.128][1] 	46 milliseconds 
[2020-08-06T10:09:16.18][1] 	98 milliseconds 
[2020-08-06T10:09:16.232][1] 	31 milliseconds 
[2020-08-06T10:09:16.284][1] 	83 milliseconds 
[2020-08-06T10:09:16.336][1] 	50 milliseconds 
[2020-08-06T10:09:16.388][1] 	102 milliseconds 
[2020-08-06T10:09:16.44][1] 	49 milliseconds 
[2020-08-06T10:09:16.492][1] 	101 milliseconds 
[2020-08-06T10:09:16.544][1] 	52 milliseconds 
[2020-08-06T10:09:16.597][1] 	5 milliseconds 
[2020-08-06T10:09:16.649][1] 	57 milliseconds 
