time,symbol,side,,q,p,t,fee,
2020-07-31T09:29:27.961,BNBBTC,BUY,MARKET,0.12,0.0018449,0.000221388,9E-05,FILLED
2020-07-31T09:29:32.183,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
2020-07-31T09:29:32.227,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:32.281,BNBBTC,BUY,MARKET,0.12,0.0018456,0.000221472,9E-05,FILLED
2020-07-31T09:29:32.681,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
2020-07-31T09:29:32.726,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:32.769,BNBBTC,BUY,MARKET,0.12,0.0018456,0.000221472,9E-05,FILLED
2020-07-31T09:29:33.478,BNBBTC,BUY,MARKET,0.12,0.0018458,0.000221496,9E-05,FILLED
2020-07-31T09:29:38.768,LTCBNB,BUY,MARKET,0.05,2.776,0.1388,0.00010395,FILLED
2020-07-31T09:29:38.825,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:38.83,BNBBTC,BUY,MARKET,0.12,0.0018454,0.000221448,9E-05,FILLED
2020-07-31T09:29:40.079,LTCBNB,BUY,MARKET,0.05,2.776,0.1388,0.00010395,FILLED
2020-07-31T09:29:40.146,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:40.175,BNBBTC,BUY,MARKET,0.12,0.0018452,0.000221424,9E-05,FILLED
2020-07-31T09:29:42.1,LTCBNB,BUY,MARKET,0.05,2.775,0.13875,0.00010395,FILLED
2020-07-31T09:29:42.173,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:42.202,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:29:42.335,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:29:42.437,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:42.465,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:42.598,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:42.632,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:29:42.632,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
2020-07-31T09:29:42.658,BNBBTC,BUY,MARKET,0.12,0.0018451,0.000221412,9E-05,FILLED
2020-07-31T09:29:42.73,LTCBNB,BUY,MARKET,0.05,2.774,0.1387,0.00010395,FILLED
2020-07-31T09:29:42.764,LTCBTC,SELL,MARKET,0.05,0.005111,0.00025555,0.00010574,FILLED
