[2020-08-06T10:19:45.702][1] 	628 milliseconds 
[2020-08-06T10:19:45.753][1] 	680 milliseconds 
[2020-08-06T10:19:45.806][1] 	37 milliseconds 
[2020-08-06T10:19:45.858][1] 	89 milliseconds 
[2020-08-06T10:19:45.909][1] 	140 milliseconds 
[2020-08-06T10:19:45.962][1] 	193 milliseconds 
[2020-08-06T10:19:46.014][1] 	245 milliseconds 
[2020-08-06T10:19:46.066][1] 	297 milliseconds 
[2020-08-06T10:19:46.118][1] 	349 milliseconds 
[2020-08-06T10:19:46.17][1] 	401 milliseconds 
[2020-08-06T10:19:46.222][1] 	453 milliseconds 
[2020-08-06T10:19:46.274][1] 	505 milliseconds 
[2020-08-06T10:19:46.326][1] 	557 milliseconds 
[2020-08-06T10:19:46.378][1] 	609 milliseconds 
[2020-08-06T10:19:46.43][1] 	661 milliseconds 
[2020-08-06T10:19:46.482][1] 	713 milliseconds 
[2020-08-06T10:19:46.534][1] 	765 milliseconds 
[2020-08-06T10:19:46.586][1] 	49 milliseconds 
[2020-08-06T10:19:46.638][1] 	101 milliseconds 
[2020-08-06T10:19:46.69][1] 	153 milliseconds 
[2020-08-06T10:19:46.742][1] 	205 milliseconds 
[2020-08-06T10:19:46.794][1] 	257 milliseconds 
[2020-08-06T10:19:46.846][1] 	309 milliseconds 
[2020-08-06T10:19:46.898][1] 	361 milliseconds 
[2020-08-06T10:19:46.95][1] 	413 milliseconds 
[2020-08-06T10:19:47.002][1] 	3 milliseconds 
[2020-08-06T10:19:47.054][1] 	55 milliseconds 
[2020-08-06T10:19:47.106][1] 	107 milliseconds 
[2020-08-06T10:19:47.158][1] 	159 milliseconds 
[2020-08-06T10:19:47.21][1] 	211 milliseconds 
[2020-08-06T10:19:47.262][1] 	263 milliseconds 
[2020-08-06T10:19:47.314][1] 	315 milliseconds 
[2020-08-06T10:19:47.367][1] 	368 milliseconds 
[2020-08-06T10:19:47.419][1] 	420 milliseconds 
[2020-08-06T10:19:47.471][1] 	472 milliseconds 
[2020-08-06T10:19:47.523][1] 	524 milliseconds 
[2020-08-06T10:19:47.575][1] 	576 milliseconds 
[2020-08-06T10:19:47.627][1] 	41 milliseconds 
[2020-08-06T10:19:47.679][1] 	93 milliseconds 
[2020-08-06T10:19:47.731][1] 	45 milliseconds 
[2020-08-06T10:19:47.783][1] 	97 milliseconds 
[2020-08-06T10:19:47.835][1] 	49 milliseconds 
[2020-08-06T10:19:47.887][1] 	101 milliseconds 
[2020-08-06T10:19:47.939][1] 	153 milliseconds 
[2020-08-06T10:19:47.991][1] 	205 milliseconds 
[2020-08-06T10:19:48.043][1] 	257 milliseconds 
[2020-08-06T10:19:48.095][1] 	309 milliseconds 
[2020-08-06T10:19:48.147][1] 	10 milliseconds 
[2020-08-06T10:19:48.199][1] 	62 milliseconds 
[2020-08-06T10:19:48.251][1] 	114 milliseconds 
[2020-08-06T10:19:48.303][1] 	166 milliseconds 
[2020-08-06T10:19:48.355][1] 	218 milliseconds 
[2020-08-06T10:19:48.407][1] 	270 milliseconds 
[2020-08-06T10:19:48.459][1] 	322 milliseconds 
[2020-08-06T10:19:48.511][1] 	40 milliseconds 
[2020-08-06T10:19:48.563][1] 	92 milliseconds 
[2020-08-06T10:19:48.615][1] 	144 milliseconds 
[2020-08-06T10:19:48.667][1] 	196 milliseconds 
[2020-08-06T10:19:48.719][1] 	16 milliseconds 
[2020-08-06T10:19:48.771][1] 	68 milliseconds 
[2020-08-06T10:19:48.823][1] 	120 milliseconds 
[2020-08-06T10:19:48.875][1] 	172 milliseconds 
[2020-08-06T10:19:48.927][1] 	223 milliseconds 
[2020-08-06T10:19:48.978][1] 	275 milliseconds 
[2020-08-06T10:19:49.03][1] 	327 milliseconds 
[2020-08-06T10:19:49.082][1] 	379 milliseconds 
[2020-08-06T10:19:49.134][1] 	431 milliseconds 
[2020-08-06T10:19:49.186][1] 	483 milliseconds 
[2020-08-06T10:19:49.238][1] 	535 milliseconds 
[2020-08-06T10:19:49.29][1] 	587 milliseconds 
[2020-08-06T10:19:49.342][1] 	2 milliseconds 
[2020-08-06T10:19:49.394][1] 	54 milliseconds 
[2020-08-06T10:19:49.446][1] 	106 milliseconds 
[2020-08-06T10:19:49.498][1] 	158 milliseconds 
[2020-08-06T10:19:49.557][1] 	217 milliseconds 
[2020-08-06T10:19:49.609][1] 	269 milliseconds 
[2020-08-06T10:19:49.661][1] 	321 milliseconds 
[2020-08-06T10:19:49.714][1] 	374 milliseconds 
[2020-08-06T10:19:49.766][1] 	4 milliseconds 
[2020-08-06T10:19:49.818][1] 	56 milliseconds 
[2020-08-06T10:19:49.87][1] 	6 milliseconds 
[2020-08-06T10:19:49.922][1] 	58 milliseconds 
[2020-08-06T10:19:49.974][1] 	110 milliseconds 
[2020-08-06T10:19:50.026][1] 	25 milliseconds 
[2020-08-06T10:19:50.078][1] 	77 milliseconds 
[2020-08-06T10:19:50.13][1] 	129 milliseconds 
[2020-08-06T10:19:50.182][1] 	181 milliseconds 
[2020-08-06T10:19:50.234][1] 	233 milliseconds 
[2020-08-06T10:19:50.286][1] 	285 milliseconds 
[2020-08-06T10:19:50.338][1] 	337 milliseconds 
[2020-08-06T10:19:50.39][1] 	389 milliseconds 
[2020-08-06T10:19:50.442][1] 	441 milliseconds 
[2020-08-06T10:19:50.494][1] 	493 milliseconds 
[2020-08-06T10:19:50.547][1] 	546 milliseconds 
[2020-08-06T10:19:50.599][1] 	598 milliseconds 
[2020-08-06T10:19:50.651][1] 	650 milliseconds 
[2020-08-06T10:19:50.703][1] 	702 milliseconds 
[2020-08-06T10:19:50.755][1] 	754 milliseconds 
[2020-08-06T10:19:50.807][1] 	41 milliseconds 
[2020-08-06T10:19:50.859][1] 	93 milliseconds 
[2020-08-06T10:19:50.911][1] 	9 milliseconds 
[2020-08-06T10:19:50.963][1] 	61 milliseconds 
[2020-08-06T10:19:51.015][1] 	13 milliseconds 
[2020-08-06T10:19:51.067][1] 	65 milliseconds 
[2020-08-06T10:19:51.119][1] 	16 milliseconds 
[2020-08-06T10:19:51.171][1] 	68 milliseconds 
[2020-08-06T10:19:51.223][1] 	120 milliseconds 
[2020-08-06T10:19:51.275][1] 	172 milliseconds 
[2020-08-06T10:19:51.326][1] 	38 milliseconds 
[2020-08-06T10:19:51.378][1] 	90 milliseconds 
[2020-08-06T10:19:51.43][1] 	142 milliseconds 
[2020-08-06T10:19:51.482][1] 	194 milliseconds 
[2020-08-06T10:19:51.534][1] 	246 milliseconds 
[2020-08-06T10:19:51.586][1] 	298 milliseconds 
[2020-08-06T10:19:51.638][1] 	350 milliseconds 
[2020-08-06T10:19:51.69][1] 	402 milliseconds 
[2020-08-06T10:19:51.742][1] 	454 milliseconds 
[2020-08-06T10:19:51.794][1] 	25 milliseconds 
[2020-08-06T10:19:51.847][1] 	77 milliseconds 
[2020-08-06T10:19:51.899][1] 	130 milliseconds 
[2020-08-06T10:19:51.951][1] 	181 milliseconds 
[2020-08-06T10:19:52.004][1] 	235 milliseconds 
[2020-08-06T10:19:52.056][1] 	287 milliseconds 
[2020-08-06T10:19:52.108][1] 	339 milliseconds 
[2020-08-06T10:19:52.16][1] 	391 milliseconds 
[2020-08-06T10:19:52.212][1] 	443 milliseconds 
[2020-08-06T10:19:52.264][1] 	495 milliseconds 
[2020-08-06T10:19:52.316][1] 	547 milliseconds 
[2020-08-06T10:19:52.368][1] 	599 milliseconds 
[2020-08-06T10:19:52.42][1] 	651 milliseconds 
[2020-08-06T10:19:52.472][1] 	30 milliseconds 
[2020-08-06T10:19:52.524][1] 	82 milliseconds 
[2020-08-06T10:19:52.576][1] 	134 milliseconds 
[2020-08-06T10:19:52.628][1] 	186 milliseconds 
[2020-08-06T10:19:52.68][1] 	238 milliseconds 
[2020-08-06T10:19:52.732][1] 	290 milliseconds 
[2020-08-06T10:19:52.784][1] 	342 milliseconds 
[2020-08-06T10:19:52.836][1] 	394 milliseconds 
[2020-08-06T10:19:52.888][1] 	446 milliseconds 
